subpop1,subpop2,subpop3,subpop4
sim,talvez,sim,não
sim,sim,sim,talvez
não,sim,talvez,não
não,sim,sim,sim
sim,não,sim,não
não,sim,não,sim
sim,não,não,sim
não,sim,sim,não
sim,sim,talvez,sim
sim,não,não,talvez
não,não,talvez,sim
sim,sim,sim,não
sim,não,sim,sim
sim,sim,não,talvez
sim,talvez,sim,não
não,não,sim,não
sim,não,não,sim
sim,talvez,sim,sim
sim,sim,sim,sim
sim,não,sim,não
talvez,sim,sim,sim
sim,não,sim,não
não,não,sim,talvez
sim,não,sim,sim
não,não,sim,sim
não,sim,não,não
talvez,sim,sim,não
sim,sim,sim,não
sim,sim,talvez,talvez
sim,sim,sim,sim
talvez,sim,sim,sim
não,sim,não,sim
não,sim,não,sim
sim,sim,não,sim
talvez,sim,talvez,sim
não,sim,sim,sim
talvez,sim,sim,sim
sim,não,sim,sim
sim,sim,sim,não
sim,sim,sim,sim
sim,sim,talvez,sim
não,sim,sim,não
talvez,não,sim,não
sim,sim,sim,sim
não,talvez,sim,sim
sim,não,não,não
sim,não,sim,não
talvez,não,sim,talvez
sim,não,não,sim
sim,sim,sim,sim
não,não,sim,sim
não,não,sim,talvez
não,sim,sim,sim
sim,não,sim,não
talvez,sim,sim,sim
sim,não,sim,sim
não,sim,não,sim
sim,sim,talvez,não
sim,sim,sim,sim
sim,talvez,sim,não
sim,sim,sim,talvez
não,não,sim,sim
sim,sim,sim,sim
não,sim,talvez,sim
sim,sim,sim,não
não,não,sim,sim
sim,sim,sim,não
sim,sim,sim,sim
sim,talvez,não,sim
sim,sim,talvez,sim
sim,não,sim,talvez
talvez,sim,não,talvez
não,talvez,não,não
não,não,sim,sim
não,não,não,não
não,talvez,não,sim
sim,não,sim,sim
não,sim,talvez,sim
não,não,sim,não
sim,sim,sim,não
sim,não,sim,sim
talvez,sim,sim,não
talvez,sim,sim,não
talvez,não,sim,sim
sim,sim,sim,não
sim,sim,sim,não
sim,não,sim,talvez
talvez,sim,não,não
sim,sim,sim,sim
sim,sim,sim,sim
sim,sim,não,talvez
talvez,não,sim,não
talvez,sim,não,não
sim,sim,talvez,não
não,sim,sim,não
sim,sim,sim,sim
talvez,sim,sim,não
não,não,sim,talvez
não,não,sim,sim
não,sim,sim,não
sim,sim,sim,sim
sim,sim,sim,sim
sim,não,sim,sim
sim,sim,sim,não
não,sim,sim,não
sim,sim,sim,sim
sim,sim,sim,não
talvez,não,não,sim
sim,não,sim,sim
sim,talvez,sim,sim
não,sim,sim,sim
sim,sim,sim,sim
sim,sim,sim,sim
sim,não,sim,talvez
sim,talvez,sim,talvez
sim,não,sim,não
sim,sim,sim,sim
não,sim,não,sim
sim,talvez,sim,sim
sim,talvez,sim,sim
sim,sim,não,não
sim,não,não,sim
talvez,sim,sim,sim
talvez,sim,não,sim
sim,sim,sim,talvez
sim,não,não,sim
sim,talvez,não,sim
sim,não,talvez,sim
sim,sim,sim,sim
sim,sim,sim,sim
sim,sim,sim,sim
sim,sim,sim,sim
não,sim,sim,sim
sim,sim,não,sim
não,não,sim,sim
talvez,sim,sim,sim
sim,não,sim,sim
talvez,não,não,sim
sim,sim,não,não
não,sim,não,sim
não,sim,sim,não
talvez,sim,não,sim
não,sim,sim,talvez
sim,não,não,não
sim,não,talvez,sim
sim,sim,sim,sim
sim,sim,não,sim
não,não,sim,sim
sim,não,não,não
sim,sim,sim,sim
não,sim,sim,sim
não,não,sim,sim
não,sim,sim,sim
sim,sim,sim,sim
talvez,sim,sim,sim
não,sim,sim,não
sim,não,não,sim
sim,sim,sim,não
sim,não,não,sim
não,talvez,não,sim
não,não,sim,sim
sim,sim,sim,sim
talvez,não,sim,sim
não,sim,sim,talvez
não,sim,talvez,sim
sim,não,sim,não
sim,sim,sim,sim
talvez,sim,sim,sim
não,talvez,sim,não
sim,sim,sim,sim
sim,sim,não,sim
não,não,sim,sim
talvez,sim,sim,sim
não,talvez,sim,sim
sim,não,talvez,sim
sim,sim,talvez,não
sim,sim,sim,sim
sim,sim,não,sim
não,sim,talvez,sim
não,não,sim,não
sim,sim,não,talvez
sim,não,sim,sim
sim,sim,sim,sim
talvez,não,não,sim
sim,sim,talvez,sim
sim,não,não,sim
sim,sim,sim,sim
não,sim,não,talvez
sim,não,não,não
sim,sim,sim,sim
sim,sim,não,não
sim,talvez,não,não
sim,não,sim,não
talvez,sim,não,não
talvez,não,sim,sim
não,não,não,não
sim,sim,sim,não
não,sim,sim,sim
sim,sim,sim,não
sim,sim,não,sim
sim,sim,não,sim
não,sim,sim,não
sim,não,sim,talvez
sim,sim,não,não
sim,sim,não,sim
talvez,sim,não,sim
sim,sim,sim,talvez
sim,sim,sim,sim
sim,sim,não,sim
sim,não,talvez,não
sim,sim,sim,não
sim,não,sim,não
sim,não,sim,talvez
sim,não,sim,sim
sim,sim,sim,sim
sim,não,sim,não
sim,sim,não,talvez
sim,sim,não,não
não,sim,não,sim
sim,sim,sim,não
não,sim,sim,não
talvez,sim,não,talvez
sim,sim,não,talvez
sim,sim,não,sim
não,sim,talvez,não
talvez,talvez,talvez,talvez
sim,sim,talvez,talvez
sim,não,não,sim
talvez,sim,não,sim
não,sim,sim,sim
não,não,não,sim
sim,não,sim,sim
não,sim,sim,não
sim,sim,sim,não
sim,sim,sim,sim
sim,não,sim,não
não,não,sim,não
não,sim,sim,sim
sim,não,não,sim
sim,sim,não,sim
sim,talvez,não,não
sim,sim,sim,não
sim,sim,sim,sim
sim,sim,não,sim
não,sim,não,não
sim,não,sim,sim
sim,sim,não,sim
sim,sim,sim,sim
sim,sim,sim,sim
sim,sim,não,sim
sim,talvez,não,sim
não,não,sim,talvez
sim,sim,sim,não
talvez,não,não,sim
sim,não,sim,sim
não,talvez,sim,não
não,sim,sim,talvez
sim,sim,sim,não
sim,sim,sim,não
sim,sim,sim,sim
sim,sim,sim,talvez
não,talvez,sim,sim
sim,sim,sim,sim
sim,sim,sim,não
sim,sim,talvez,não
não,não,não,sim
sim,sim,não,não
sim,sim,sim,sim
sim,não,talvez,talvez
não,sim,não,não
sim,não,sim,não
sim,talvez,sim,não
talvez,sim,não,talvez
sim,sim,talvez,não
não,não,sim,sim
sim,não,sim,talvez
sim,não,sim,sim
sim,não,não,sim
não,sim,sim,não
talvez,sim,sim,sim
sim,não,talvez,sim
sim,sim,sim,sim
sim,sim,não,sim
sim,sim,não,não
sim,não,não,sim
talvez,não,não,sim
não,sim,não,sim
não,sim,não,sim
sim,sim,talvez,sim
sim,talvez,não,sim
sim,sim,sim,sim
não,sim,sim,não
não,não,sim,sim
sim,sim,sim,não
talvez,não,sim,sim
sim,sim,sim,sim
sim,sim,sim,sim
não,sim,sim,sim
sim,não,sim,sim
sim,talvez,sim,sim
talvez,não,sim,sim
sim,sim,sim,sim
não,sim,sim,sim
não,não,talvez,não
não,sim,sim,sim
não,sim,não,sim
sim,não,sim,sim
sim,sim,sim,não
sim,sim,não,talvez
sim,sim,sim,sim
sim,não,sim,sim
sim,sim,sim,sim
não,não,sim,talvez
sim,não,sim,não
sim,sim,sim,talvez
não,sim,sim,talvez
sim,sim,sim,sim
sim,sim,sim,não
sim,sim,não,não
sim,não,sim,sim
sim,não,sim,não
sim,talvez,talvez,talvez
sim,sim,não,sim
sim,sim,sim,sim
sim,sim,sim,não
não,sim,sim,sim
sim,sim,sim,sim
não,não,não,sim
sim,não,sim,sim
sim,sim,não,sim
sim,sim,sim,não
não,sim,sim,talvez
sim,não,sim,sim
sim,não,sim,sim
não,sim,sim,sim
sim,talvez,sim,não
sim,sim,não,sim
sim,sim,sim,talvez
sim,sim,talvez,não
sim,não,sim,sim
sim,sim,sim,sim
sim,não,sim,sim
sim,sim,sim,não
sim,talvez,sim,sim
talvez,não,sim,sim
não,sim,sim,não
sim,sim,não,sim
sim,talvez,sim,sim
sim,não,sim,não
sim,sim,sim,sim
talvez,sim,sim,não
sim,sim,não,sim
não,sim,sim,não
não,não,sim,não
sim,talvez,não,sim
talvez,não,sim,sim
sim,sim,sim,talvez
talvez,talvez,sim,sim
sim,sim,não,sim
não,sim,não,não
não,sim,talvez,sim
sim,sim,sim,sim
sim,não,sim,não
talvez,não,não,não
sim,sim,sim,talvez
sim,sim,não,sim
sim,não,sim,talvez
talvez,sim,não,sim
sim,não,sim,sim
não,sim,não,não
sim,não,sim,talvez
sim,talvez,não,sim
sim,sim,sim,sim
sim,talvez,sim,sim
não,sim,sim,não
sim,sim,sim,sim
sim,sim,não,talvez
não,sim,não,não
não,não,sim,não
sim,sim,sim,talvez
sim,não,não,sim
sim,não,sim,sim
não,talvez,sim,não
sim,não,sim,não
talvez,sim,sim,sim
não,sim,talvez,sim
sim,sim,sim,não
não,sim,sim,sim
não,sim,sim,sim
talvez,talvez,sim,talvez
não,sim,sim,sim
sim,sim,não,não
sim,sim,sim,sim
sim,sim,não,sim
sim,não,sim,sim
não,sim,sim,não
não,não,sim,sim
não,sim,talvez,sim
sim,sim,talvez,sim
não,sim,sim,sim
sim,sim,sim,sim
talvez,não,não,não
não,talvez,sim,talvez
sim,talvez,sim,não
sim,sim,não,talvez
sim,não,não,sim
não,não,não,não
sim,sim,talvez,não
sim,talvez,não,não
sim,sim,sim,sim
não,talvez,sim,talvez
não,talvez,não,sim
não,não,não,sim
não,não,sim,sim
sim,sim,sim,sim
sim,sim,sim,não
sim,sim,não,sim
sim,sim,não,talvez
sim,talvez,sim,sim
sim,sim,sim,sim
não,talvez,sim,sim
não,sim,sim,não
sim,sim,não,sim
não,sim,não,sim
não,não,sim,sim
talvez,sim,não,sim
não,não,sim,sim
não,não,sim,sim
sim,sim,talvez,sim
não,não,sim,sim
sim,sim,talvez,não
talvez,não,não,sim
não,talvez,sim,não
sim,não,não,sim
não,sim,sim,talvez
sim,sim,talvez,sim
não,talvez,não,talvez
talvez,não,não,não
sim,não,sim,não
sim,sim,não,não
sim,sim,não,sim
não,sim,sim,sim
sim,sim,sim,sim
sim,não,não,talvez
sim,não,não,sim
sim,sim,sim,não
sim,não,sim,sim
não,sim,sim,sim
talvez,não,sim,sim
sim,sim,não,sim
não,sim,sim,sim
sim,não,sim,sim
sim,não,talvez,sim
sim,sim,sim,talvez
não,não,sim,sim
não,não,sim,não
não,sim,sim,sim
sim,sim,sim,sim
sim,sim,não,sim
sim,sim,sim,sim
sim,sim,sim,talvez
não,não,sim,sim
sim,sim,sim,sim
não,sim,sim,sim
sim,sim,sim,sim
sim,talvez,sim,talvez
sim,sim,sim,não
sim,sim,sim,sim
não,sim,sim,sim
sim,sim,sim,sim
sim,talvez,sim,sim
sim,não,não,sim
sim,sim,sim,não
sim,sim,não,talvez
sim,sim,sim,sim
não,talvez,não,não
sim,sim,sim,sim
sim,sim,sim,sim
talvez,sim,não,não
sim,sim,talvez,não
sim,sim,não,talvez
sim,sim,sim,não
não,não,não,sim
não,sim,sim,não
sim,talvez,não,sim
não,sim,sim,não
talvez,não,não,não
sim,não,não,sim
não,sim,sim,sim
sim,sim,talvez,sim
não,sim,talvez,não
sim,sim,sim,talvez
talvez,não,sim,sim
sim,não,não,sim
sim,sim,não,sim
sim,sim,sim,talvez
sim,sim,sim,sim
sim,sim,sim,sim
sim,sim,não,não
sim,não,sim,sim
sim,talvez,não,não
sim,não,sim,talvez
não,não,sim,sim
sim,sim,sim,não
sim,sim,talvez,talvez
não,não,sim,não
sim,sim,sim,sim
sim,sim,sim,não
não,sim,não,não
talvez,não,talvez,talvez
sim,sim,sim,talvez
sim,sim,sim,sim
talvez,sim,sim,talvez
não,sim,não,sim
não,sim,sim,sim
não,não,não,sim
sim,não,talvez,sim
sim,não,não,sim
não,sim,não,sim
sim,não,não,não
não,sim,sim,sim
sim,talvez,sim,sim
sim,não,sim,sim
sim,sim,talvez,não
talvez,não,não,não
não,sim,sim,não
sim,sim,sim,não
sim,não,sim,sim
não,sim,sim,sim
talvez,talvez,sim,talvez
sim,sim,sim,não
sim,sim,não,sim
não,não,talvez,sim
não,não,sim,sim
sim,sim,sim,sim
não,não,não,sim
não,sim,sim,sim
sim,talvez,sim,não
sim,não,não,sim
não,sim,sim,sim
talvez,sim,sim,sim
sim,sim,sim,sim
não,não,sim,não
talvez,não,talvez,sim
não,sim,sim,não
não,sim,sim,sim
sim,não,não,talvez
talvez,sim,não,não
sim,talvez,sim,não
sim,não,não,sim
não,sim,não,sim
talvez,talvez,talvez,sim
sim,talvez,sim,sim
sim,sim,não,sim
sim,sim,sim,sim
sim,não,sim,não
sim,não,não,talvez
talvez,sim,sim,talvez
sim,não,sim,sim
sim,sim,sim,sim
sim,sim,não,sim
não,sim,sim,não
sim,talvez,sim,sim
sim,não,sim,não
não,não,sim,não
sim,sim,não,não
sim,sim,talvez,sim
sim,sim,sim,sim
sim,sim,não,não
sim,sim,não,sim
sim,sim,sim,não
sim,talvez,não,não
sim,sim,sim,sim
sim,não,sim,sim
não,não,sim,talvez
não,sim,talvez,não
sim,sim,não,sim
sim,não,talvez,sim
não,sim,talvez,não
sim,sim,sim,talvez
não,talvez,sim,sim
não,sim,sim,não
sim,sim,sim,sim
sim,sim,não,não
não,não,sim,sim
sim,não,sim,sim
sim,sim,sim,sim
sim,não,sim,não
sim,sim,sim,talvez
sim,sim,não,sim
não,não,não,talvez
sim,sim,sim,sim
talvez,sim,sim,sim
sim,sim,sim,não
sim,sim,talvez,não
sim,sim,talvez,sim
sim,sim,não,sim
sim,não,sim,sim
sim,não,sim,sim
sim,não,sim,sim
sim,sim,sim,sim
sim,sim,sim,sim
não,sim,sim,sim
não,sim,não,não
sim,não,sim,sim
não,sim,não,sim
sim,não,talvez,sim
sim,não,sim,sim
sim,sim,não,não
não,sim,sim,não
talvez,não,sim,sim
sim,sim,não,não
sim,sim,sim,não
sim,sim,sim,sim
sim,sim,sim,talvez
sim,sim,sim,não
não,sim,sim,sim
sim,talvez,não,não
sim,não,não,não
não,sim,não,sim
sim,talvez,sim,sim
sim,sim,sim,sim
sim,sim,talvez,não
sim,sim,sim,sim
não,sim,talvez,sim
sim,não,sim,sim
sim,não,sim,sim
sim,sim,sim,sim
sim,sim,sim,não
sim,sim,talvez,não
sim,sim,sim,sim
não,sim,sim,sim
sim,sim,sim,sim
sim,sim,sim,não
sim,sim,não,sim
talvez,talvez,sim,não
sim,não,sim,não
sim,sim,não,sim
sim,talvez,sim,sim
não,não,sim,sim
não,não,não,talvez
sim,sim,sim,não
sim,não,não,sim
sim,sim,sim,sim
sim,sim,não,não
sim,não,sim,não
não,sim,sim,não
não,sim,sim,sim
sim,sim,sim,sim
não,não,talvez,sim
sim,sim,não,talvez
sim,talvez,sim,talvez
não,não,não,não
talvez,sim,não,sim
talvez,talvez,não,sim
sim,não,sim,sim
não,sim,sim,sim
não,sim,sim,sim
sim,sim,sim,não
sim,não,talvez,sim
sim,não,sim,não
não,não,não,sim
não,não,sim,não
sim,sim,sim,sim
não,talvez,sim,não
não,não,não,sim
não,não,não,não
sim,sim,não,não
não,talvez,sim,não
sim,sim,sim,não
sim,sim,sim,sim
não,sim,sim,sim
sim,não,sim,não
sim,sim,sim,sim
sim,não,sim,sim
sim,sim,sim,não
sim,sim,não,não
não,sim,sim,sim
talvez,sim,não,não
sim,sim,sim,sim
sim,não,sim,sim
sim,sim,não,sim
não,sim,sim,sim
não,não,sim,sim
sim,sim,não,sim
sim,sim,sim,sim
sim,sim,talvez,sim
sim,não,não,não
talvez,sim,sim,sim
sim,sim,sim,não
não,não,sim,sim
talvez,talvez,sim,não
sim,sim,não,sim
sim,não,sim,não
sim,sim,não,sim
sim,sim,não,sim
sim,sim,talvez,sim
talvez,sim,sim,sim
não,não,não,sim
talvez,não,não,não
não,talvez,sim,sim
sim,não,sim,sim
sim,não,sim,não
sim,sim,sim,não
não,sim,sim,sim
não,sim,não,sim
sim,sim,sim,não
não,sim,sim,sim
sim,sim,sim,sim
sim,não,não,não
talvez,sim,talvez,não
sim,sim,sim,sim
sim,sim,não,não
não,sim,sim,sim
talvez,sim,talvez,sim
sim,sim,sim,sim
sim,sim,sim,não
sim,sim,sim,não
sim,não,sim,sim
sim,sim,não,sim
não,sim,sim,não
sim,não,não,não
não,sim,sim,não
não,não,sim,sim
sim,não,sim,não
talvez,não,sim,sim
não,não,não,sim
não,não,não,talvez
não,não,sim,sim
não,sim,sim,não
sim,não,sim,sim
talvez,não,não,sim
sim,sim,sim,sim
sim,não,sim,sim
talvez,não,sim,não
sim,sim,sim,não
sim,sim,sim,sim
sim,sim,não,não
não,sim,não,sim
talvez,não,não,sim
sim,sim,sim,sim
sim,sim,sim,sim
não,não,sim,sim
sim,sim,sim,sim
talvez,não,não,não
sim,sim,sim,sim
sim,sim,não,talvez
sim,sim,talvez,sim
sim,sim,sim,sim
não,não,sim,sim
